27 11 1950	7.3875003 17.8375 0.0 1.4352156
28 11 1950	4.4875 14.837501 0.0 1.5124272
29 11 1950	4.8375 16.4875 0.0 1.3902762
30 11 1950	10.087501 13.7875 0.1 1.8677877
01 12 1950	8.587501 15.9875 0.0 1.8873177
02 12 1950	3.9375 14.6875 0.0 1.4784173
03 12 1950	7.6875 16.1875 0.0 1.1276319
04 12 1950	10.6875 18.0875 0.0 1.1729615
05 12 1950	7.8875003 17.2375 0.0 1.2102203
06 12 1950	8.8875 19.037498 0.0 1.521843
07 12 1950	8.9875 18.2375 0.0 1.6611869
08 12 1950	8.2875 13.2375 0.4 1.2557664
09 12 1950	5.2875004 13.2875 1.0000001 1.1302062
10 12 1950	6.3375 10.9375 0.0 1.2213414
11 12 1950	4.5875 13.0375 0.5 0.99947894
12 12 1950	4.6375003 11.7875 0.0 0.9806383
13 12 1950	4.5875 12.5375 7.6999993 0.9354142
14 12 1950	7.4375 10.837501 16.6 0.6545756
15 12 1950	7.3375 11.0375 0.6 0.978992
16 12 1950	5.4375 12.337501 0.70000005 1.0127803
17 12 1950	2.4875 8.4875 0.3 1.1001505
18 12 1950	1.1375 8.837501 1.1 1.4811726
19 12 1950	6.1375003 10.4375 7.7 1.0337359
20 12 1950	4.0875 9.0375 0.70000005 1.3430113
21 12 1950	1.6875 10.5375 0.2 0.90351987
22 12 1950	5.9375 12.2375 2.8000002 0.7395416
23 12 1950	7.2875004 12.0375 14.200001 1.0688396
24 12 1950	4.1875 12.2875 0.8 0.82055366
25 12 1950	4.4875 10.9375 0.0 1.0569029
26 12 1950	2.9875 11.587501 1.1000001 0.9042264
27 12 1950	4.0875 10.087501 6.5999994 0.6301185
28 12 1950	3.8875 9.837501 0.6 1.1510642
29 12 1950	0.8375 8.4875 0.0 1.1802936
30 12 1950	3.2875 8.2375 0.0 1.0648386
31 12 1950	1.0875001 9.4875 0.0 1.0363393
01 01 1951	3.7375 11.8875 0.0 1.1898699
02 01 1951	6.8375 12.1375 4.4 0.820362
03 01 1951	6.6375003 12.087501 9.8 0.9333877
04 01 1951	4.2375 14.087501 0.3 1.1083658
05 01 1951	3.0874999 14.087501 0.0 1.1798021
06 01 1951	2.7875 13.3875 0.0 1.2082133
07 01 1951	1.6875 14.0375 0.0 1.285566
08 01 1951	2.9375 13.2375 0.0 1.0459498
09 01 1951	2.5375 12.2875 0.0 0.9801772
10 01 1951	5.3375 12.8875 2.2 0.8937385
11 01 1951	6.6875 13.9875 0.8 0.97804487
12 01 1951	6.7375 13.087501 0.1 1.0632046
13 01 1951	5.7875004 10.9875 0.1 1.4540952
14 01 1951	7.6375003 11.3875 0.2 1.9262044
15 01 1951	7.4375 13.7875 0.0 1.2517878
